YearMonth,Location,AvgTemp,Rainfall
2007-11,Canberra,18.4,95.4
2007-12,Canberra,19.2,101.0
2008-01,Canberra,22.2,43.8
2008-02,Canberra,18.6,64.6
2008-02,Sydney,21.6,258.4
2008-03,Canberra,18.4,30.0
2008-03,Sydney,21.2,63.4
2008-04,Canberra,12.3,17.4
2008-04,Sydney,17.7,146.6
2008-05,Canberra,9.9,12.8
2008-05,Sydney,16.0,3.0
2008-06,Canberra,9.5,21.8
2008-06,Sydney,15.3,127.2
2008-07,Adelaide,11.1,72.2
2008-07,Brisbane,15.5,91.4
2008-07,Canberra,5.8,44.0
2008-07,Darwin,24.6,0.0
2008-07,Hobart,7.8,48.4
2008-07,Melbourne,10.5,44.4
2008-07,Perth,12.6,179.4
2008-07,Sydney,12.8,89.6
2008-08,Adelaide,10.6,84.8
2008-08,Brisbane,15.3,15.8
2008-08,Canberra,6.6,17.6
2008-08,Darwin,26.0,0.0
2008-08,Hobart,9.1,38.6
2008-08,Melbourne,11.0,44.8
2008-08,Perth,12.7,27.8
2008-08,Sydney,12.7,44.2
2008-09,Adelaide,15.0,16.0
2008-09,Brisbane,19.5,55.6
2008-09,Canberra,10.9,40.8
2008-09,Darwin,28.3,5.2
2008-09,Hobart,11.8,26.8
2008-09,Melbourne,14.6,12.0
2008-09,Perth,15.0,75.8
2008-09,Sydney,16.8,99.2
2008-10,Adelaide,18.2,8.0
2008-10,Brisbane,19.7,55.2
2008-10,Canberra,15.1,33.6
2008-10,Darwin,29.8,117.0
2008-10,Hobart,13.9,19.6
2008-10,Melbourne,16.8,14.2
2008-10,Perth,18.1,38.4
2008-10,Sydney,18.8,66.6
2008-11,Adelaide,19.5,13.8
2008-11,Brisbane,23.7,326.6
2008-11,Canberra,17.0,87.4
2008-11,Darwin,30.2,54.6
2008-11,Hobart,13.8,73.4
2008-11,Melbourne,17.8,54.2
2008-11,Perth,18.0,57.8
2008-11,Sydney,20.2,73.2
2008-12,Adelaide,20.5,40.4
2008-12,Alice Springs,27.8,54.8
2008-12,Brisbane,25.5,62.6
2008-12,Cairns,28.5,195.2
2008-12,Canberra,18.6,121.0
2008-12,Darwin,28.8,325.8
2008-12,Hobart,15.2,39.2
2008-12,Melbourne,18.3,76.8
2008-12,Perth,21.7,11.6
2008-12,Sydney,22.0,54.2
2008-12,Townsville,28.8,178.8
2009-01,Adelaide,25.0,1.2
2009-01,Alice Springs,29.2,15.0
2009-01,Brisbane,25.7,77.4
2009-01,Cairns,27.5,868.0
2009-01,Canberra,22.5,52.0
2009-01,Darwin,28.8,411.0
2009-01,Hobart,18.1,10.0
2009-01,Melbourne,22.2,0.8
2009-01,Perth,25.6,0.2
2009-01,Sydney,23.7,24.8
2009-01,Townsville,27.2,653.8
2009-01,Woomera,28.5,0.0
2009-02,Adelaide,25.1,0.8
2009-02,Alice Springs,28.6,9.0
2009-02,Brisbane,25.7,131.8
2009-02,Cairns,27.7,620.0
2009-02,Canberra,21.5,7.0
2009-02,Darwin,27.8,495.8
2009-02,Hobart,16.6,59.2
2009-02,Melbourne,22.3,3.0
2009-02,Perth,24.9,8.2
2009-02,Sydney,22.7,127.6
2009-02,Townsville,27.2,960.8
2009-02,Woomera,28.2,0.0
2009-03,Adelaide,20.7,21.4
2009-03,Alice Springs,27.5,0.4
2009-03,Brisbane,24.5,47.6
2009-03,Cairns,27.4,152.0
2009-03,Canberra,19.2,10.2
2009-03,Darwin,29.0,115.6
2009-03,Hobart,16.0,70.0
2009-03,Melbourne,19.4,47.6
2009-03,Perth,22.1,6.8
2009-03,Sydney,22.2,60.6
2009-03,Townsville,27.2,18.8
2009-03,Woomera,23.9,8.0
2009-04,Adelaide,17.9,73.6
2009-04,Alice Springs,21.2,0.0
2009-04,Brisbane,22.6,195.2
2009-04,Cairns,26.2,134.0
2009-04,Canberra,14.0,72.6
2009-04,Darwin,29.1,63.6
2009-04,Hobart,13.3,63.8
2009-04,Melbourne,16.3,39.2
2009-04,Perth,20.5,5.0
2009-04,Sydney,19.2,152.6
2009-04,Townsville,25.9,51.4
2009-04,Woomera,19.6,2.8
2009-05,Adelaide,14.3,63.0
2009-05,Alice Springs,14.4,21.2
2009-05,Brisbane,19.0,240.8
2009-05,Cairns,23.5,87.2
2009-05,Canberra,10.3,2.4
2009-05,Darwin,27.6,0.4
2009-05,Hobart,11.7,53.2
2009-05,Melbourne,13.8,10.6
2009-05,Perth,17.0,46.0
2009-05,Sydney,16.6,125.8
2009-05,Townsville,22.6,6.4
2009-05,Woomera,14.9,22.0
2009-06,Adelaide,12.5,52.0
2009-06,Alice Springs,13.6,2.4
2009-06,Brisbane,16.5,87.6
2009-06,Cairns,22.8,4.4
2009-06,Canberra,8.0,35.4
2009-06,Darwin,25.8,0.0
2009-06,Hobart,9.1,144.0
2009-06,Melbourne,11.6,25.8
2009-06,Perth,13.9,156.2
2009-06,Sydney,14.1,129.8
2009-06,Townsville,20.6,0.4
2009-06,Woomera,12.7,14.0
2009-07,Adelaide,12.4,109.0
2009-07,Alice Springs,12.9,0.0
2009-07,Brisbane,15.8,3.6
2009-07,Cairns,21.8,5.0
2009-07,Canberra,6.8,30.4
2009-07,Darwin,25.1,0.0
2009-07,Hobart,8.9,40.2
2009-07,Melbourne,11.7,39.6
2009-07,Perth,12.5,149.6
2009-07,Sydney,13.8,53.0
2009-07,Townsville,19.6,0.2
2009-07,Woomera,12.4,11.6
2009-08,Adelaide,13.8,55.8
2009-08,Alice Springs,19.2,11.6
2009-08,Brisbane,18.8,4.0
2009-08,Cairns,22.9,8.0
2009-08,Canberra,8.3,36.4
2009-08,Darwin,26.0,0.0
2009-08,Hobart,10.6,98.4
2009-08,Melbourne,13.0,41.2
2009-08,Perth,14.1,111.0
2009-08,Sydney,15.6,6.0
2009-08,Townsville,21.1,0.0
2009-08,Woomera,15.2,5.2
2009-09,Adelaide,15.0,61.6
2009-09,Alice Springs,22.0,5.8
2009-09,Brisbane,20.2,23.4
2009-09,Cairns,24.8,3.6
2009-09,Canberra,10.7,57.0
2009-09,Darwin,28.7,34.4
2009-09,Hobart,11.6,132.8
2009-09,Melbourne,14.3,71.2
2009-09,Perth,14.2,80.2
2009-09,Sydney,18.3,16.0
2009-09,Townsville,24.1,3.8
2009-09,Woomera,17.6,12.6
2009-10,Adelaide,16.7,18.4
2009-10,Alice Springs,22.0,0.0
2009-10,Brisbane,21.7,57.4
2009-10,Cairns,25.0,30.8
2009-10,Canberra,12.6,45.0
2009-10,Darwin,29.7,33.4
2009-10,Hobart,12.0,64.6
2009-10,Melbourne,15.3,22.0
2009-10,Perth,17.8,6.8
2009-10,Sydney,17.7,180.0
