City,YearMonth,avg_temp,avg_humidity,avg_wind,monthly_rainfall
Adelaide,2008-07,11.1,64.2,14.6,72.2
Adelaide,2008-08,10.6,66.6,13.4,84.8
Adelaide,2008-09,15.0,45.0,16.4,16.0
Adelaide,2008-10,18.2,40.2,14.3,8.0
Adelaide,2008-11,19.5,44.2,15.4,13.8
Adelaide,2008-12,20.5,48.5,14.3,40.4
Adelaide,2009-01,25.0,31.3,14.1,1.2
Adelaide,2009-02,25.1,35.8,13.6,0.8
Adelaide,2009-03,20.7,49.8,11.8,21.4
Adelaide,2009-04,17.9,51.8,12.8,73.6
Adelaide,2009-05,14.3,67.5,8.8,63.0
Adelaide,2009-06,12.5,67.6,12.3,52.0
Adelaide,2009-07,12.4,68.0,14.6,109.0
Adelaide,2009-08,13.8,59.3,16.0,55.8
Adelaide,2009-09,15.0,50.8,16.3,61.6
Adelaide,2009-10,16.7,47.2,14.2,18.4
Adelaide,2009-11,24.4,38.2,14.5,42.2
Adelaide,2009-12,22.2,40.0,14.6,18.2
Adelaide,2010-01,24.7,36.2,13.8,9.2
Adelaide,2010-02,25.2,40.4,12.6,5.6
Adelaide,2010-03,22.0,46.4,12.0,19.0
Adelaide,2010-04,19.2,54.2,11.5,49.6
Adelaide,2010-05,15.1,57.5,10.8,56.8
Adelaide,2010-06,11.7,69.9,10.1,65.8
Adelaide,2010-07,11.1,69.6,11.0,59.8
Adelaide,2010-08,11.5,62.9,15.7,115.2
Adelaide,2010-09,13.1,60.6,14.9,72.2
Adelaide,2010-10,16.5,48.8,13.9,29.2
Adelaide,2010-11,19.2,49.0,12.5,23.2
Adelaide,2010-12,21.4,46.5,15.8,87.0
Adelaide,2011-01,24.5,44.1,12.3,17.4
Adelaide,2011-02,23.8,49.2,12.5,43.2
Adelaide,2011-03,19.9,56.1,11.6,81.8
Adelaide,2011-05,14.0,60.7,10.3,61.8
Adelaide,2011-06,12.5,63.1,12.8,37.2
Adelaide,2011-07,11.8,64.6,11.7,61.4
Adelaide,2011-08,13.6,60.1,12.8,92.4
Adelaide,2011-09,15.5,46.4,15.6,46.8
Adelaide,2011-10,17.6,51.7,13.5,42.6
Adelaide,2011-11,20.7,46.0,13.4,25.2
Adelaide,2011-12,22.1,39.6,14.1,18.2
Adelaide,2012-01,25.1,39.5,14.9,18.0
Adelaide,2012-02,22.7,46.1,12.3,25.0
Adelaide,2012-03,20.6,49.6,12.6,64.2
Adelaide,2012-04,18.4,46.8,11.6,27.0
Adelaide,2012-05,13.8,61.0,11.0,62.4
Adelaide,2012-06,11.6,68.8,12.1,126.4
Adelaide,2012-07,11.6,67.0,11.4,66.2
Adelaide,2012-08,11.8,63.6,15.1,68.0
Adelaide,2012-09,14.8,50.0,16.4,21.8
Adelaide,2012-10,16.9,43.2,14.4,20.0
Adelaide,2012-11,21.4,37.5,15.0,17.4
Adelaide,2013-01,23.5,37.9,14.5,11.6
Adelaide,2013-03,23.3,47.1,13.7,19.6
Adelaide,2013-04,18.6,50.9,11.8,33.2
Adelaide,2013-05,16.4,54.5,12.1,54.8
Adelaide,2013-06,12.5,69.0,11.1,76.4
Adelaide,2013-07,12.7,68.4,14.2,119.2
Adelaide,2013-08,13.2,66.3,16.9,84.4
Adelaide,2013-09,17.5,52.7,16.2,42.6
Adelaide,2013-10,16.8,45.2,17.7,32.4
Adelaide,2013-11,19.1,40.7,14.7,5.2
Adelaide,2013-12,22.0,38.9,14.0,16.2
Adelaide,2014-01,25.5,36.0,13.9,10.2
Adelaide,2014-02,23.8,42.8,14.0,98.2
Adelaide,2014-03,21.3,51.4,11.4,19.0
Adelaide,2014-04,18.2,53.2,13.1,50.6
Adelaide,2014-05,16.4,60.5,10.8,64.4
Adelaide,2014-06,12.8,71.3,12.9,104.2
